;;;;;;POTENCIA;;;;;;ENERGIA;;;;;
sistema;cia;producto;producto cia;tarifa;fee;P1;P2;P3;P4;P5;P6;P1.;P2.;P3.;P4.;P5.;P6.
BALEARES;IBERDROLA;FIJO;2.0<10kW PLAN ESTABLE;2.0TD;-;0,094534 €;0,017473 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,163031 €;0,163031 €;0,163031 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;2.0<10kW Plan Exclusivo 15%TE/TP 1p;2.0TD;-;0,094534 €;0,017473 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,208042 €;0,208042 €;0,208042 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;2.0<10kW Plan Exclusivo 15%TE/TP 3p;2.0TD;-;0,094534 €;0,017473 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,225009 €;0,187932 €;0,163137 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;2.0>10kW Plan Estable;2.0TD;-;0,088983 €;0,014502 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,164731 €;0,164731 €;0,164731 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;2.0>10kW Plan Exclusivo 15%TE/TP 1p;2.0TD;-;0,081031 €;0,012591 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,185382 €;0,185382 €;0,185382 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;2.0>10kW Plan Exclusivo 15%TE/TP 3p;2.0TD;-;0,081031 €;0,012591 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,225009 €;0,187932 €;0,163137 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;2.0>10kW Plan Exclusivo 26/30%TE 1p;2.0TD;-;0,062030 €;0,008326 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,290986 €;0,290986 €;0,290986 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;2.0>10kW Plan Exclusivo 26/30%TE 3p;2.0TD;-;0,083824 €;0,011252 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,351283 €;0,284357 €;0,263988 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;PEH/API 2.0<10kW PLAN ESTABLE;2.0TD;-;0,088983 €;0,014502 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,153441 €;0,153441 €;0,153441 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;PEH/API 2.0<10kW Plan Exclusivo 15%TE/TP 1p;2.0TD;-;0,081031 €;0,012591 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,174478 €;0,174478 €;0,174478 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;PEH/API 2.0<10kW Plan Exclusivo 15%TE/TP 3p;2.0TD;-;0,081031 €;0,012591 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,225009 €;0,187932 €;0,163137 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;PEH/API 2.0>10kW Plan Estable;2.0TD;-;0,088983 €;0,014502 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,155041 €;0,155041 €;0,155041 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;PEH/API 2.0>10kW Plan Exclusivo 15%TE/TP 1p;2.0TD;-;0,081031 €;0,012591 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,172246 €;0,172246 €;0,172246 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;PEH/API 2.0>10kW Plan Exclusivo 15%TE/TP 3p;2.0TD;-;0,081031 €;0,012591 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,225009 €;0,187932 €;0,163137 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;IBERDROLA;FIJO;3.0 Plan Estable;3.0TD;-;0,043205 €;0,031846 €;0,014683 €;0,012162 €;0,010190 €;0,008242 €;0,181900 €;0,181900 €;0,181900 €;0,181900 €;0,181900 €;0,181900 €
BALEARES;IBERDROLA;FIJO;3.0 Plan Exclusivo 15%TE;3.0TD;-;0,052805 €;0,038804 €;0,018841 €;0,015943 €;0,015083 €;0,013140 €;0,328058 €;0,319635 €;0,302746 €;0,295270 €;0,288293 €;0,286368 €
BALEARES;IBERDROLA;FIJO;3.0 Plan Exclusivo 26/30%TE;3.0TD;-;0,052805 €;0,038804 €;0,018841 €;0,015943 €;0,015083 €;0,013140 €;0,383045 €;0,374891 €;0,358543 €;0,351149 €;0,344732 €;0,336255 €
BALEARES;IBERDROLA;FIJO;PEH/API 3.0 Plan Estable;3.0TD;-;0,043205 €;0,031846 €;0,014683 €;0,012162 €;0,010190 €;0,008242 €;0,171200 €;0,171200 €;0,171200 €;0,171200 €;0,171200 €;0,171200 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE >5001;2.0TD;-;0,069500 €;0,003700 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,231417 €;0,178991 €;0,157138 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE 0-1500;2.0TD;-;0,069500 €;0,003700 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,238917 €;0,186491 €;0,164638 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE 1501-3000;2.0TD;-;0,069500 €;0,003700 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,236917 €;0,184491 €;0,162638 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE 3001-5000;2.0TD;-;0,069500 €;0,003700 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,231417 €;0,178991 €;0,157138 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;TOTAL;FIJO; CLASICA SNP;2.0TD;-;0,069543 €;0,003679 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,224917 €;0,172491 €;0,150638 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;TOTAL;FIJO; CLASICA SNP TE3;2.0TD;-;0,089000 €;0,023000 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,238917 €;0,186491 €;0,164638 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE >100001;3.0TD;-;0,038300 €;0,032600 €;0,011000 €;0,010000 €;0,007500 €;0,005500 €;0,187251 €;0,178010 €;0,172733 €;0,158447 €;0,142013 €;0,149577 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE 0-10000;3.0TD;-;0,038300 €;0,032600 €;0,011000 €;0,010000 €;0,007500 €;0,005500 €;0,191251 €;0,182010 €;0,176733 €;0,162447 €;0,146013 €;0,153577 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE 10001-30000;3.0TD;-;0,038300 €;0,032600 €;0,011000 €;0,010000 €;0,007500 €;0,005500 €;0,190751 €;0,181510 €;0,176233 €;0,161947 €;0,145513 €;0,153077 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE 30001-50000;3.0TD;-;0,038300 €;0,032600 €;0,011000 €;0,010000 €;0,007500 €;0,005500 €;0,189251 €;0,180010 €;0,174733 €;0,160447 €;0,144013 €;0,151577 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE 50001-100000;3.0TD;-;0,038300 €;0,032600 €;0,011000 €;0,010000 €;0,007500 €;0,005500 €;0,188001 €;0,178760 €;0,173483 €;0,159197 €;0,142763 €;0,150327 €
BALEARES;TOTAL;FIJO; CLASICA SNP;3.0TD;-;0,038308 €;0,032600 €;0,010964 €;0,010011 €;0,007487 €;0,005482 €;0,184751 €;0,175510 €;0,170233 €;0,155947 €;0,139513 €;0,147077 €
BALEARES;TOTAL;FIJO; CLASICA SNP TE3;3.0TD;-;0,044000 €;0,039000 €;0,017000 €;0,016000 €;0,013000 €;0,011000 €;0,196751 €;0,187510 €;0,182233 €;0,167947 €;0,151513 €;0,159077 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE >50.001;6.1TD;-;0,062900 €;0,054400 €;0,028300 €;0,023500 €;0,005200 €;0,003100 €;0,163038 €;0,155685 €;0,152864 €;0,142209 €;0,127508 €;0,134676 €
BALEARES;TOTAL;FIJO;CLASICA LIBRE 0-50.000;6.1TD;-;0,062900 €;0,054400 €;0,028300 €;0,023500 €;0,005200 €;0,003100 €;0,164038 €;0,156685 €;0,153864 €;0,143209 €;0,128508 €;0,135676 €
BALEARES;TOTAL;FIJO; CLASICA SNP;6.1TD;-;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,161038 €;0,153685 €;0,150864 €;0,140209 €;0,125508 €;0,132676 €
BALEARES;TOTAL;FIJO; CLASICA SNP TE3;6.1TD;-;0,069000 €;0,060000 €;0,034000 €;0,029000 €;0,011000 €;0,009000 €;0,173038 €;0,165685 €;0,162864 €;0,152209 €;0,137508 €;0,144676 €
BALEARES;NATURGY;FIJO;RESIDENCIAL POR USO LUZ LOYAL;2.0TD;-;0,097370 €;0,031506 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,125500 €;0,125500 €;0,125500 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;NATURGY;FIJO;RESIDENCIAL NOCHE LUZ;2.0TD;-;0,094086 €;0,028222 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,192200 €;0,137300 €;0,090000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;NATURGY;FIJO;RESIDENCIAL POR USO LUZ;2.0TD;-;0,094086 €;0,028222 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,129900 €;0,129900 €;0,129900 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;NATURGY;FIJO;PLAN FIJO LUZ 3.0;3.0TD;-;0,040409 €;0,034701 €;0,013065 €;0,012111 €;0,009587 €;0,007583 €;0,224400 €;0,212100 €;0,189500 €;0,175400 €;0,166500 €;0,153000 €
BALEARES;NATURGY;FIJO;PLAN FIJO LUZ 3.0 ONE;3.0TD;-;0,040409 €;0,034701 €;0,013065 €;0,012111 €;0,009587 €;0,007583 €;0,218400 €;0,206100 €;0,183500 €;0,169400 €;0,160500 €;0,147000 €
BALEARES;NATURGY;FIJO;PLAN FIJO LUZ 3.0 SUPRA;3.0TD;-;0,040409 €;0,034701 €;0,013065 €;0,012111 €;0,009587 €;0,007583 €;0,236400 €;0,224100 €;0,201500 €;0,187400 €;0,178500 €;0,165000 €
BALEARES;NATURGY;FIJO;PLAN FIJO LUZ 6.1;6.1TD;-;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,197900 €;0,188600 €;0,173100 €;0,162400 €;0,153400 €;0,141600 €
BALEARES;NATURGY;FIJO;PLAN FIJO LUZ 6.1 ONE;6.1TD;-;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,191900 €;0,182600 €;0,167100 €;0,156400 €;0,147400 €;0,135600 €
BALEARES;NATURGY;FIJO;PLAN FIJO LUZ 6.1 SUPRA;6.1TD;-;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €;0,209900 €;0,200600 €;0,185100 €;0,174400 €;0,165400 €;0,153600 €
BALEARES;EVOLVE;FIJO;SILVER;2.0TD;-;0,088721 €;0,055733 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,239359 €;0,239359 €;0,239359 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;ENDESA;FIJO;TEMPO LIBRE;2.0TD;-;0,101064 €;0,034285 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,166000 €;0,166000 €;0,166000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;ENDESA;FIJO;TEMPO OPEN >100kW;3.0TD;-;0,039951 €;0,034164 €;0,012228 €;0,011261 €;0,008702 €;0,006670 €;0,231174 €;0,231174 €;0,231174 €;0,231174 €;0,231174 €;0,231174 €
BALEARES;ENDESA;FIJO;TEMPO 3 PERIODOS;2.0TD;-;0,101064 €;0,034285 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,268000 €;0,213000 €;0,176000 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;ACCIONA;FIJO;CIERZO;2.0TD;-;0,088121 €;0,019570 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,356438 €;0,305364 €;0,266744 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;ACCIONA;FIJO;LEVANTE;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,367603 €;0,316529 €;0,277909 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;ACCIONA;FIJO;LEVANTE+;2.0TD;-;0,082641 €;0,014091 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,367603 €;0,316529 €;0,277909 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;ACCIONA;FIJO;PONIENTE;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,361513 €;0,310439 €;0,271819 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;ACCIONA;FIJO;PONIENTE+;2.0TD;-;0,077162 €;0,008611 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,361513 €;0,310439 €;0,271819 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;ACCIONA;FIJO;TRAMONTANA;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,356438 €;0,305364 €;0,266744 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;ACCIONA;FIJO;TRAMONTANA+;2.0TD;-;0,074422 €;0,005872 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,356438 €;0,305364 €;0,266744 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;ACCIONA;FIJO;CIERZO;3.0TD;-;0,056000 €;0,046924 €;0,030475 €;0,028048 €;0,023445 €;0,021317 €;0,317780 €;0,330941 €;0,302275 €;0,281266 €;0,266427 €;0,262639 €
CANARIAS;ACCIONA;FIJO;LEVANTE;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,328945 €;0,342106 €;0,313440 €;0,292431 €;0,277592 €;0,273804 €
CANARIAS;ACCIONA;FIJO;LEVANTE+;3.0TD;-;0,050521 €;0,041445 €;0,024995 €;0,022568 €;0,017966 €;0,015837 €;0,328945 €;0,342106 €;0,313440 €;0,292431 €;0,277592 €;0,273804 €
CANARIAS;ACCIONA;FIJO;PONIENTE;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,322855 €;0,336016 €;0,307350 €;0,286341 €;0,271502 €;0,267714 €
CANARIAS;ACCIONA;FIJO;PONIENTE+;3.0TD;-;0,045041 €;0,035965 €;0,019516 €;0,017089 €;0,012487 €;0,010358 €;0,322855 €;0,336016 €;0,307350 €;0,286341 €;0,271502 €;0,267714 €
CANARIAS;ACCIONA;FIJO;TRAMONTANA;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,317780 €;0,330941 €;0,302275 €;0,281266 €;0,266427 €;0,262639 €
CANARIAS;ACCIONA;FIJO;TRAMONTANA+;3.0TD;-;0,042302 €;0,033226 €;0,016776 €;0,014349 €;0,009747 €;0,007618 €;0,317780 €;0,330941 €;0,302275 €;0,281266 €;0,266427 €;0,262639 €
CANARIAS;ACCIONA;FIJO;CIERZO;6.1TD;-;0,077855 €;0,072249 €;0,047885 €;0,041248 €;0,021896 €;0,019686 €;0,284364 €;0,294384 €;0,274385 €;0,256517 €;0,242890 €;0,239099 €
CANARIAS;ACCIONA;FIJO;LEVANTE;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,295529 €;0,305549 €;0,285550 €;0,267682 €;0,254055 €;0,250264 €
CANARIAS;ACCIONA;FIJO;LEVANTE+;6.1TD;-;0,072376 €;0,066769 €;0,042406 €;0,035768 €;0,016417 €;0,014206 €;0,295529 €;0,305549 €;0,285550 €;0,267682 €;0,254055 €;0,250264 €
CANARIAS;ACCIONA;FIJO;PONIENTE;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,289439 €;0,299459 €;0,279460 €;0,261592 €;0,247965 €;0,244174 €
CANARIAS;ACCIONA;FIJO;PONIENTE+;6.1TD;-;0,066896 €;0,061290 €;0,036926 €;0,030289 €;0,010937 €;0,008727 €;0,289439 €;0,299459 €;0,279460 €;0,261592 €;0,247965 €;0,244174 €
CANARIAS;ACCIONA;FIJO;TRAMONTANA;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,284364 €;0,294384 €;0,274385 €;0,256517 €;0,242890 €;0,239099 €
CANARIAS;ACCIONA;FIJO;TRAMONTANA+;6.1TD;-;0,064156 €;0,058550 €;0,034187 €;0,027549 €;0,008198 €;0,005987 €;0,284364 €;0,294384 €;0,274385 €;0,256517 €;0,242890 €;0,239099 €
CANARIAS;ACCIONA;FIJO;CIERZO;6.2TD;-;0,060270 €;0,056978 €;0,037051 €;0,035407 €;0,019981 €;0,018683 €;0,265660 €;0,278593 €;0,263817 €;0,249235 €;0,239959 €;0,233317 €
CANARIAS;ACCIONA;FIJO;LEVANTE;6.2TD;-;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,276825 €;0,289758 €;0,274982 €;0,260400 €;0,251124 €;0,244482 €
CANARIAS;ACCIONA;FIJO;LEVANTE+;6.2TD;-;0,054790 €;0,051498 €;0,031572 €;0,029927 €;0,014502 €;0,013204 €;0,276825 €;0,289758 €;0,274982 €;0,260400 €;0,251124 €;0,244482 €
CANARIAS;ACCIONA;FIJO;PONIENTE;6.2TD;-;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,270735 €;0,283668 €;0,268892 €;0,254310 €;0,245034 €;0,238392 €
CANARIAS;ACCIONA;FIJO;PONIENTE+;6.2TD;-;0,049311 €;0,046019 €;0,026092 €;0,024448 €;0,009022 €;0,007724 €;0,270735 €;0,283668 €;0,268892 €;0,254310 €;0,245034 €;0,238392 €
CANARIAS;ACCIONA;FIJO;TRAMONTANA;6.2TD;-;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,265660 €;0,278593 €;0,263817 €;0,249235 €;0,239959 €;0,233317 €
CANARIAS;ACCIONA;FIJO;TRAMONTANA+;6.2TD;-;0,046571 €;0,043279 €;0,023353 €;0,021708 €;0,006283 €;0,004985 €;0,265660 €;0,278593 €;0,263817 €;0,249235 €;0,239959 €;0,233317 €
CANARIAS;AEQ;FIJO;ARMONIA;2.0TD;3;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,274798 €;0,220630 €;0,184321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;2.0TD;3;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,274798 €;0,220630 €;0,184321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;SIMETRIA;2.0TD;3;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,274798 €;0,220630 €;0,184321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;ARMONIA;2.0TD;6;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,277798 €;0,223630 €;0,187321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;2.0TD;6;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,277798 €;0,223630 €;0,187321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;SIMETRIA;2.0TD;6;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,277798 €;0,223630 €;0,187321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;ARMONIA;2.0TD;8;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,279798 €;0,225630 €;0,189321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;2.0TD;8;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,279798 €;0,225630 €;0,189321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;SIMETRIA;2.0TD;8;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,279798 €;0,225630 €;0,189321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;ARMONIA;2.0TD;10;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,281798 €;0,227630 €;0,191321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;2.0TD;10;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,281798 €;0,227630 €;0,191321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;SIMETRIA;2.0TD;10;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,281798 €;0,227630 €;0,191321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;ARMONIA;2.0TD;15;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,286798 €;0,232630 €;0,196321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;2.0TD;15;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,286798 €;0,232630 €;0,196321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;SIMETRIA;2.0TD;15;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,286798 €;0,232630 €;0,196321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;ARMONIA;2.0TD;20;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,291798 €;0,237630 €;0,201321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;2.0TD;20;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,291798 €;0,237630 €;0,201321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;SIMETRIA;2.0TD;20;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,291798 €;0,237630 €;0,201321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;ARMONIA;2.0TD;25;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,296798 €;0,242630 €;0,206321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;2.0TD;25;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,296798 €;0,242630 €;0,206321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;SIMETRIA;2.0TD;25;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,296798 €;0,242630 €;0,206321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;ARMONIA;2.0TD;30;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,301798 €;0,247630 €;0,211321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;2.0TD;30;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,301798 €;0,247630 €;0,211321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;SIMETRIA;2.0TD;30;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,301798 €;0,247630 €;0,211321 €;0,000000 €;0,000000 €;0,000000 €
CANARIAS;AEQ;FIJO;ARMONIA;3.0TD;3;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,265079 €;0,244310 €;0,216352 €;0,198055 €;0,178701 €;0,176372 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;3.0TD;3;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,265079 €;0,244310 €;0,216352 €;0,198055 €;0,178701 €;0,176372 €
CANARIAS;AEQ;FIJO;SIMETRIA;3.0TD;3;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,265079 €;0,244310 €;0,216352 €;0,198055 €;0,178701 €;0,176372 €
CANARIAS;AEQ;FIJO;ARMONIA;3.0TD;6;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,268079 €;0,247310 €;0,219352 €;0,201055 €;0,181701 €;0,179372 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;3.0TD;6;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,268079 €;0,247310 €;0,219352 €;0,201055 €;0,181701 €;0,179372 €
CANARIAS;AEQ;FIJO;SIMETRIA;3.0TD;6;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,268079 €;0,247310 €;0,219352 €;0,201055 €;0,181701 €;0,179372 €
CANARIAS;AEQ;FIJO;ARMONIA;3.0TD;8;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,270079 €;0,249310 €;0,221352 €;0,203055 €;0,183701 €;0,181372 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;3.0TD;8;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,270079 €;0,249310 €;0,221352 €;0,203055 €;0,183701 €;0,181372 €
CANARIAS;AEQ;FIJO;SIMETRIA;3.0TD;8;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,270079 €;0,249310 €;0,221352 €;0,203055 €;0,183701 €;0,181372 €
CANARIAS;AEQ;FIJO;ARMONIA;3.0TD;10;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,272079 €;0,251310 €;0,223352 €;0,205055 €;0,185701 €;0,183372 €
CANARIAS;AEQ;FIJO;EQUILIBRIO;3.0TD;10;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,272079 €;0,251310 €;0,223352 €;0,205055 €;0,185701 €;0,183372 €
CANARIAS;AEQ;FIJO;SIMETRIA;3.0TD;10;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,272079 €;0,251310 €;0,223352 €;0,205055 €;0,185701 €;0,183372 €
CANARIAS;AEQ;FIJO;ARMONIA;3.0TD;15;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,277079 €;0,256310 €;0,228352 €;0,210055 €;0,190701 €;0,188372 €
