;;;;;;POTENCIA;;;;;;ENERGIA;;;;;
sistema;cia;producto;producto cia;tarifa;fee;P1;P2;P3;P4;P5;P6;P1.;P2.;P3.;P4.;P5.;P6.
BALEARES;ACCIONA;FIJO;TRAMONTANA;6.2TD;-;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,259569 €;0,261637 €;0,266162 €;0,261960 €;0,253489 €;0,233317 €
BALEARES;ACCIONA;FIJO;TRAMONTANA+;6.2TD;-;0,046571 €;0,043279 €;0,023353 €;0,021708 €;0,006283 €;0,004985 €;0,259569 €;0,261637 €;0,266162 €;0,261960 €;0,253489 €;0,233317 €
BALEARES;AEQ;FIJO;ARMONIA;2.0TD;3;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,275408 €;0,220613 €;0,183749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;EQUILIBRIO;2.0TD;3;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,275408 €;0,220613 €;0,183749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;SIMETRIA;2.0TD;3;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,275408 €;0,220613 €;0,183749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;ARMONIA;2.0TD;6;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,278408 €;0,223613 €;0,186749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;EQUILIBRIO;2.0TD;6;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,278408 €;0,223613 €;0,186749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;SIMETRIA;2.0TD;6;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,278408 €;0,223613 €;0,186749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;ARMONIA;2.0TD;8;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,280408 €;0,225613 €;0,188749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;EQUILIBRIO;2.0TD;8;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,280408 €;0,225613 €;0,188749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;SIMETRIA;2.0TD;8;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,280408 €;0,225613 €;0,188749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;ARMONIA;2.0TD;10;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,282408 €;0,227613 €;0,190749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;EQUILIBRIO;2.0TD;10;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,282408 €;0,227613 €;0,190749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;SIMETRIA;2.0TD;10;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,282408 €;0,227613 €;0,190749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;ARMONIA;2.0TD;15;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,287408 €;0,232613 €;0,195749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;EQUILIBRIO;2.0TD;15;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,287408 €;0,232613 €;0,195749 €;0,000000 €;0,000000 €;0,000000 €
