-;;;;;;;;8;9;10;11;12;13;14;15;16;17;18;19
-;;;;;;;;POTENCIA (€/kW/día);;;;;;ENERGIA (€/kWh);;;;;
-;soporte;CIA;SISTEMA;CIA;Producto CIA (potencia);Transporte Distribución;fee;P1;P2;P3;P4;P5;P6;P1;P2;P3;P4;P5;P6
-;PENINSULAACCIONAFIJOTRAMONTANA6.1TD-;ACCIONA;PENINSULA;;TRAMONTANA;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,30299 € ; 0,28725 € ; 0,26508 € ; 0,25697 € ; 0,23742 € ; 0,23841 € 
-;PENINSULAACCIONAFIJOTRAMONTANA+6.1TD-;ACCIONA;PENINSULA;;TRAMONTANA+;6.1TD;-; 0,06416 € ; 0,05855 € ; 0,03419 € ; 0,02755 € ; 0,00820 € ; 0,00599 € ; 0,30299 € ; 0,28725 € ; 0,26508 € ; 0,25697 € ; 0,23742 € ; 0,23841 € 
-;PENINSULAACCIONAFIJOCIERZO6.2TD-;ACCIONA;PENINSULA;;CIERZO;6.2TD;-; 0,06027 € ; 0,05698 € ; 0,03705 € ; 0,03541 € ; 0,01998 € ; 0,01868 € ; 0,28359 € ; 0,27162 € ; 0,25484 € ; 0,24991 € ; 0,23439 € ; 0,23264 € 
-;PENINSULAACCIONAFIJOLEVANTE6.2TD-;ACCIONA;PENINSULA;;LEVANTE;6.2TD;-; 0,04383 € ; 0,04054 € ; 0,02061 € ; 0,01897 € ; 0,00354 € ; 0,00224 € ; 0,29476 € ; 0,28279 € ; 0,26600 € ; 0,26108 € ; 0,24555 € ; 0,24381 € 
-;PENINSULAACCIONAFIJOLEVANTE+6.2TD-;ACCIONA;PENINSULA;;LEVANTE+;6.2TD;-; 0,05479 € ; 0,05150 € ; 0,03157 € ; 0,02993 € ; 0,01450 € ; 0,01320 € ; 0,29476 € ; 0,28279 € ; 0,26600 € ; 0,26108 € ; 0,24555 € ; 0,24381 € 
-;PENINSULAACCIONAFIJOPONIENTE6.2TD-;ACCIONA;PENINSULA;;PONIENTE;6.2TD;-; 0,04382 € ; 0,04054 € ; 0,02061 € ; 0,01897 € ; 0,00354 € ; 0,00224 € ; 0,28867 € ; 0,27670 € ; 0,25991 € ; 0,25499 € ; 0,23946 € ; 0,23772 € 
-;PENINSULAACCIONAFIJOPONIENTE+6.2TD-;ACCIONA;PENINSULA;;PONIENTE+;6.2TD;-; 0,04931 € ; 0,04602 € ; 0,02609 € ; 0,02445 € ; 0,00902 € ; 0,00772 € ; 0,28867 € ; 0,27670 € ; 0,25991 € ; 0,25499 € ; 0,23946 € ; 0,23772 € 
-;PENINSULAACCIONAFIJOTRAMONTANA6.2TD-;ACCIONA;PENINSULA;;TRAMONTANA;6.2TD;-; 0,04382 € ; 0,04054 € ; 0,02061 € ; 0,01897 € ; 0,00354 € ; 0,00224 € ; 0,28359 € ; 0,27162 € ; 0,25484 € ; 0,24991 € ; 0,23439 € ; 0,23264 € 
-;PENINSULAACCIONAFIJOTRAMONTANA+6.2TD-;ACCIONA;PENINSULA;;TRAMONTANA+;6.2TD;-; 0,04657 € ; 0,04328 € ; 0,02335 € ; 0,02171 € ; 0,00628 € ; 0,00498 € ; 0,28359 € ; 0,27162 € ; 0,25484 € ; 0,24991 € ; 0,23439 € ; 0,23264 € 
-;CANARIASACCIONAFIJOCIERZO2.0TD-;ACCIONA;CANARIAS;;CIERZO;2.0TD;-; 0,08812 € ; 0,01957 € ; -   € ; -   € ; -   € ; -   € ; 0,35644 € ; 0,30536 € ; 0,26674 € ; -   € ; -   € ; -   € 
-;CANARIASACCIONAFIJOLEVANTE2.0TD-;ACCIONA;CANARIAS;;LEVANTE;2.0TD;-; 0,07168 € ; 0,00313 € ; -   € ; -   € ; -   € ; -   € ; 0,36760 € ; 0,31653 € ; 0,27791 € ; -   € ; -   € ; -   € 
-;CANARIASACCIONAFIJOLEVANTE+2.0TD-;ACCIONA;CANARIAS;;LEVANTE+;2.0TD;-; 0,08264 € ; 0,01409 € ; -   € ; -   € ; -   € ; -   € ; 0,36760 € ; 0,31653 € ; 0,27791 € ; -   € ; -   € ; -   € 
-;CANARIASACCIONAFIJOPONIENTE2.0TD-;ACCIONA;CANARIAS;;PONIENTE;2.0TD;-; 0,07168 € ; 0,00313 € ; -   € ; -   € ; -   € ; -   € ; 0,36151 € ; 0,31044 € ; 0,27182 € ; -   € ; -   € ; -   € 
-;CANARIASACCIONAFIJOPONIENTE+2.0TD-;ACCIONA;CANARIAS;;PONIENTE+;2.0TD;-; 0,07716 € ; 0,00861 € ; -   € ; -   € ; -   € ; -   € ; 0,36151 € ; 0,31044 € ; 0,27182 € ; -   € ; -   € ; -   € 
-;CANARIASACCIONAFIJOTRAMONTANA2.0TD-;ACCIONA;CANARIAS;;TRAMONTANA;2.0TD;-; 0,07168 € ; 0,00313 € ; -   € ; -   € ; -   € ; -   € ; 0,35644 € ; 0,30536 € ; 0,26674 € ; -   € ; -   € ; -   € 
-;CANARIASACCIONAFIJOTRAMONTANA+2.0TD-;ACCIONA;CANARIAS;;TRAMONTANA+;2.0TD;-; 0,07442 € ; 0,00587 € ; -   € ; -   € ; -   € ; -   € ; 0,35644 € ; 0,30536 € ; 0,26674 € ; -   € ; -   € ; -   € 
-;CANARIASACCIONAFIJOCIERZO3.0TD-;ACCIONA;CANARIAS;;CIERZO;3.0TD;-; 0,05600 € ; 0,04692 € ; 0,03047 € ; 0,02805 € ; 0,02345 € ; 0,02132 € ; 0,31778 € ; 0,33094 € ; 0,30227 € ; 0,28127 € ; 0,26643 € ; 0,26264 € 
-;CANARIASACCIONAFIJOLEVANTE3.0TD-;ACCIONA;CANARIAS;;LEVANTE;3.0TD;-; 0,03956 € ; 0,03049 € ; 0,01404 € ; 0,01161 € ; 0,00701 € ; 0,00488 € ; 0,32894 € ; 0,34211 € ; 0,31344 € ; 0,29243 € ; 0,27759 € ; 0,27380 € 
-;CANARIASACCIONAFIJOLEVANTE+3.0TD-;ACCIONA;CANARIAS;;LEVANTE+;3.0TD;-; 0,05052 € ; 0,04144 € ; 0,02500 € ; 0,02257 € ; 0,01797 € ; 0,01584 € ; 0,32894 € ; 0,34211 € ; 0,31344 € ; 0,29243 € ; 0,27759 € ; 0,27380 € 
